paper_id,title,chunk_id,chunk_text
0,Lecture Notes: Optimization for Machine Learning,0_0,"Lecture notes on optimization for machine learning, derived from a course at
Princeton University and tutorials given in MLSS, Buenos Aires, as well as
Simons Foundation, Berkeley."
1,An Optimal Control View of Adversarial Machine Learning,1_0,"I describe an optimal control view of adversarial machine learning, where the
dynamical system is the machine learner, the input are adversarial actions, and
the control costs are defined by the adversary's goals to do harm and be hard
to detect."
1,An Optimal Control View of Adversarial Machine Learning,1_1,"This view encompasses many types of adversarial machine learning,
including test-item attacks, training-data poisoning, and adversarial reward
shaping."
1,An Optimal Control View of Adversarial Machine Learning,1_2,"The view encourages adversarial machine learning researcher to utilize
advances in control theory and reinforcement learning."
2,"Minimax deviation strategies for machine learning and recognition with
  short learning samples",2_0,"The article is devoted to the problem of small learning samples in machine
learning."
2,"Minimax deviation strategies for machine learning and recognition with
  short learning samples",2_1,"The flaws of maximum likelihood learning and minimax learning are
looked into and the concept of minimax deviation learning is introduced that is
free of those flaws."
3,Machine Learning for Clinical Predictive Analytics,3_0,"In this chapter, we provide a brief overview of applying machine learning
techniques for clinical prediction tasks."
3,Machine Learning for Clinical Predictive Analytics,3_1,"We begin with a quick introduction to
the concepts of machine learning and outline some of the most common machine
learning algorithms."
3,Machine Learning for Clinical Predictive Analytics,3_2,"Next, we demonstrate how to apply the algorithms with
appropriate toolkits to conduct machine learning experiments for clinical
prediction tasks."
3,Machine Learning for Clinical Predictive Analytics,3_3,"The objectives of this chapter are to (1) understand the
basics of machine learning techniques and the reasons behind why they are
useful for solving clinical prediction problems, (2) understand the intuition
behind some machine learning models, including regression, decision trees, and
support vector machines, and (3) understand how to apply these models to
clinical prediction problems using publicly available datasets via case
studies."
4,"Towards Modular Machine Learning Solution Development: Benefits and
  Trade-offs",4_0,"Machine learning technologies have demonstrated immense capabilities in
various domains. They play a key role in the success of modern businesses."
4,"Towards Modular Machine Learning Solution Development: Benefits and
  Trade-offs",4_1,"However, adoption of machine learning technologies has a lot of untouched
potential."
4,"Towards Modular Machine Learning Solution Development: Benefits and
  Trade-offs",4_2,"Cost of developing custom machine learning solutions that solve
unique business problems is a major inhibitor to far-reaching adoption of
machine learning technologies."
4,"Towards Modular Machine Learning Solution Development: Benefits and
  Trade-offs",4_3,"We recognize that the monolithic nature
prevalent in today's machine learning applications stands in the way of
efficient and cost effective customized machine learning solution development."
4,"Towards Modular Machine Learning Solution Development: Benefits and
  Trade-offs",4_4,"In this work we explore the benefits of modular machine learning solutions and
discuss how modular machine learning solutions can overcome some of the major
solution engineering limitations of monolithic machine learning solutions."
4,"Towards Modular Machine Learning Solution Development: Benefits and
  Trade-offs",4_5,"We
analyze the trade-offs between modular and monolithic machine learning
solutions through three deep learning problems; one text based and the two
image based."
4,"Towards Modular Machine Learning Solution Development: Benefits and
  Trade-offs",4_6,"Our experimental results show that modular machine learning
solutions have a promising potential to reap the solution engineering
advantages of modularity while gaining performance and data advantages in a way
the monolithic machine learning solutions do not permit."
5,Introduction to Machine Learning: Class Notes 67577,5_0,"Introduction to Machine learning covering Statistical Inference (Bayes, EM,
ML/MaxEnt duality), algebraic and spectral methods (PCA, LDA, CCA, Clustering),
and PAC learning (the Formal model, VC dimension, Double Sampling theorem)."
6,The Tribes of Machine Learning and the Realm of Computer Architecture,6_0,"Machine learning techniques have influenced the field of computer
architecture like many other fields."
6,The Tribes of Machine Learning and the Realm of Computer Architecture,6_1,"This paper studies how the fundamental
machine learning techniques can be applied towards computer architecture
problems."
6,The Tribes of Machine Learning and the Realm of Computer Architecture,6_2,"We also provide a detailed survey of computer architecture research
that employs different machine learning methods."
6,The Tribes of Machine Learning and the Realm of Computer Architecture,6_3,"Finally, we present some
future opportunities and the outstanding challenges that need to be overcome to
exploit full potential of machine learning for computer architecture."
7,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning",7_0,"Recently, the use of machine learning in meteorology has increased greatly."
7,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning",7_1,"While many machine learning methods are not new, university classes on machine
learning are largely unavailable to meteorology students and are not required
to become a meteorologist."
7,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning",7_2,"The lack of formal instruction has contributed to
perception that machine learning methods are 'black boxes' and thus end-users
are hesitant to apply the machine learning methods in their every day workflow."
7,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning",7_3,"To reduce the opaqueness of machine learning methods and lower hesitancy
towards machine learning in meteorology, this paper provides a survey of some
of the most common machine learning methods."
7,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning",7_4,"A familiar meteorological example
is used to contextualize the machine learning methods while also discussing
machine learning topics using plain language."
7,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning",7_5,"The following machine learning
methods are demonstrated: linear regression; logistic regression; decision
trees; random forest; gradient boosted decision trees; naive Bayes; and support
vector machines."
7,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning",7_6,"Beyond discussing the different methods, the paper also
contains discussions on the general machine learning process as well as best
practices to enable readers to apply machine learning to their own datasets."
7,"A Machine Learning Tutorial for Operational Meteorology, Part I:
  Traditional Machine Learning",7_7,"Furthermore, all code (in the form of Jupyter notebooks and Google Colaboratory
notebooks) used to make the examples in the paper is provided in an effort to
catalyse the use of machine learning in meteorology."
8,Position Paper: Towards Transparent Machine Learning,8_0,"Transparent machine learning is introduced as an alternative form of machine
learning, where both the model and the learning system are represented in
source code form."
8,Position Paper: Towards Transparent Machine Learning,8_1,"The goal of this project is to enable direct human
understanding of machine learning models, giving us the ability to learn,
verify, and refine them as programs."
8,Position Paper: Towards Transparent Machine Learning,8_2,"If solved, this technology could represent
a best-case scenario for the safety and security of AI systems going forward."
9,Understanding Bias in Machine Learning,9_0,"Bias is known to be an impediment to fair decisions in many domains such as
human resources, the public sector, health care etc."
9,Understanding Bias in Machine Learning,9_1,"Recently, hope has been
expressed that the use of machine learning methods for taking such decisions
would diminish or even resolve the problem."
9,Understanding Bias in Machine Learning,9_2,"At the same time, machine learning
experts warn that machine learning models can be biased as well."
9,Understanding Bias in Machine Learning,9_3,"In this
article, our goal is to explain the issue of bias in machine learning from a
technical perspective and to illustrate the impact that biased data can have on
a machine learning model."
9,Understanding Bias in Machine Learning,9_4,"To reach such a goal, we develop interactive plots to
visualizing the bias learned from synthetic data."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_0,"Traditional machine learning algorithms use data from databases that are
mutable, and therefore the data cannot be fully trusted. Also, the machine
learning process is difficult to automate."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_1,"This paper proposes building a
trustable machine learning system by using blockchain technology, which can
store data in a permanent and immutable way."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_2,"In addition, smart contracts are
used to automate the machine learning process. This paper makes three
contributions."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_3,"First, it establishes a link between machine learning technology
and blockchain technology."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_4,"Previously, machine learning and blockchain have
been considered two independent technologies without an obvious link."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_5,"Second,
it proposes a unified analytical framework for trustable machine learning by
using blockchain technology."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_6,"This unified framework solves both the
trustability and automation issues in machine learning."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_7,"Third, it enables a
computer to translate core machine learning implementation from a single thread
on a single machine to multiple threads on multiple machines running with
blockchain by using a unified approach."
10,"A Unified Analytical Framework for Trustable Machine Learning and
  Automation Running with Blockchain",10_8,"The paper uses association rule mining
as an example to demonstrate how trustable machine learning can be implemented
with blockchain, and it shows how this approach can be used to analyze opioid
prescriptions to help combat the opioid crisis."
11,"MLBench: How Good Are Machine Learning Clouds for Binary Classification
  Tasks on Structured Data?",11_0,"We conduct an empirical study of machine learning functionalities provided by
major cloud service providers, which we call machine learning clouds."
11,"MLBench: How Good Are Machine Learning Clouds for Binary Classification
  Tasks on Structured Data?",11_1,"Machine
learning clouds hold the promise of hiding all the sophistication of running
large-scale machine learning: Instead of specifying how to run a machine
learning task, users only specify what machine learning task to run and the
cloud figures out the rest."
11,"MLBench: How Good Are Machine Learning Clouds for Binary Classification
  Tasks on Structured Data?",11_2,"Raising the level of abstraction, however, rarely
comes free - a performance penalty is possible. How good, then, are current
machine learning clouds on real-world machine learning workloads?"
